 schemaname |                tablename                | row_count 
------------+-----------------------------------------+-----------
 public     | accounts_userprofile                    |      1136
 public     | address_contact                         |      3629
 public     | admin_log_adminlog                      |         0
 public     | archives_kentonarchive                  |     48688
 public     | archives_renmarkarchive                 |     10276
 public     | art_req_additionalinfo                  |      7614
 public     | art_req_artreq                          |      7670
 public     | art_req_extraproof                      |      2121
 public     | art_req_marketsegment                   |        19
 public     | art_req_partialartreq                   |       528
 public     | art_req_product                         |     14675
 public     | auth_group                              |        48
 public     | auth_group_permissions                  |        49
 public     | auth_message                            |         0
 public     | auth_permission                         |       440
 public     | auth_user                               |      1136
 public     | auth_user_groups                        |      1948
 public     | auth_user_user_permissions              |       925
 public     | auto_corrugated_boxitem                 |       528
 public     | auto_corrugated_boxitemspec             |      1223
 public     | auto_corrugated_generatedbox            |      3761
 public     | auto_corrugated_generatedlabel          |       384
 public     | auto_ftp_autoftptiff                    |     18467
 public     | auto_ftp_autoftptiff_items              |     18468
 public     | bev_billing_bevinvoice                  |     19237
 public     | budget_budget                           |        35
 public     | budget_invoiceamt                       |         0
 public     | cachedpages                             |        13
 public     | calendar_event                          |     11280
 public     | calendar_event_limit_to_group           |         0
 public     | carton_billing_cartonsapentry           |       450
 public     | catscanner_colorscanmeasurements        |         0
 public     | color_mgt_colordefinition               |      3780
 public     | django_admin_log                        |    187075
 public     | django_content_type                     |       104
 public     | django_migrations                       |       157
 public     | django_session                          |     42952
 public     | django_site                             |         4
 public     | draw_down_drawdown                      |      1166
 public     | draw_down_drawdownitem                  |      1283
 public     | draw_down_drawdownrequest               |       938
 public     | error_tracking_error                    |       167
 public     | fedexsys_shipment                       |     29721
 public     | item_catalog_productsubcategory         |        38
 public     | joblog_joblog                           |   1441804
 public     | news_codechange                         |        91
 public     | news_codechange_workflows_affected      |       171
 public     | photologue_gallery                      |         0
 public     | photologue_gallery_photos               |         0
 public     | photologue_galleryupload                |         0
 public     | photologue_photo                        |         0
 public     | photologue_photoeffect                  |         0
 public     | photologue_photosize                    |         1
 public     | photologue_watermark                    |         0
 public     | qad_data_qad_casepacks                  |      1670
 public     | qad_data_qad_printgroups                |      4443
 public     | qc_qccategory                           |        12
 public     | qc_qcquestiondefinition                 |       117
 public     | qc_qcresponse                           |   1511376
 public     | qc_qcresponsedoc                        |    135301
 public     | qc_qcresponsedoc_items                  |    270485
 public     | qc_qcwhoops                             |     18074
 public     | queues_colorkeyqueue                    |      3547
 public     | queues_hughesupload                     |       927
 public     | queues_hughesupload_items               |       930
 public     | queues_tifftopdf                        |     13485
 public     | rendersys_itemrender                    |         1
 public     | sbo_sbo                                 |      1090
 public     | software_software                       |       388
 public     | tagging_tag                             |         0
 public     | tagging_taggeditem                      |         0
 public     | timesheet_timesheet                     |     69100
 public     | timesheet_timesheetcategory             |        15
 public     | workflow_beveragebrandcode              |      2229
 public     | workflow_beveragecentercode             |      1938
 public     | workflow_beverageliquidcontents         |      1459
 public     | workflow_bevitemcolorcodes              |       124
 public     | workflow_cartonprofile                  |        35
 public     | workflow_cartonprofile_carton_workflow  |        42
 public     | workflow_cartonprofile_ink_set          |        87
 public     | workflow_cartonprofile_line_screen      |       380
 public     | workflow_cartonprofile_print_condition  |        43
 public     | workflow_cartonprofile_print_location   |       543
 public     | workflow_cartonprofile_substrate        |        68
 public     | workflow_cartonworkflow                 |         6
 public     | workflow_charge                         |    420461
 public     | workflow_chargecategory                 |         9
 public     | workflow_chargetype                     |        66
 public     | workflow_colorwarning                   |       109
 public     | workflow_customer                       |      6158
 public     | workflow_inkset                         |        12
 public     | workflow_item                           |    130779
 public     | workflow_item_ink_usage                 |         0
 public     | workflow_itemcatalog                    |      2602
 public     | workflow_itemcatalog_productsubcategory |      1061
 public     | workflow_itemcatalogphoto               |         0
 public     | workflow_itemcolor                      |    342781
 public     | workflow_itemreview                     |    119038
 public     | workflow_itemspec                       |      1286
 public     | workflow_itemtracker                    |     47466
 public     | workflow_itemtrackercategory            |         7
 public     | workflow_itemtrackertype                |        60
 public     | workflow_job                            |     60320
 public     | workflow_jobaddress                     |     50020
 public     | workflow_jobcomplexity                  |      6803
 public     | workflow_linescreen                     |        16
 public     | workflow_plant                          |        95
 public     | workflow_plant_bev_controller           |        13
 public     | workflow_platemaker                     |        27
 public     | workflow_platemaker_contacts            |        19
 public     | workflow_platemaker_workflow            |        31
 public     | workflow_plateorder                     |     58068
 public     | workflow_plateorderitem                 |    159083
 public     | workflow_platepackage                   |        60
 public     | workflow_platepackage_workflow          |        61
 public     | workflow_press                          |        66
 public     | workflow_printcondition                 |         9
 public     | workflow_printlocation                  |       179
 public     | workflow_prooftracker                   |      2662
 public     | workflow_qc                             |      1185
 public     | workflow_revision                       |     37101
 public     | workflow_salesservicerep                |        31
 public     | workflow_specialmfgconfiguration        |        20
 public     | workflow_stepspec                       |      1005
 public     | workflow_substrate                      |        16
 public     | workflow_tiffcrop                       |       185
 public     | workflow_trackedart                     |       102
 public     | workflow_trap                           |         5
(128 rows)

